#,ADR_USD,hotel_id,city_id,star_rating,accommadation_type_name,chain_hotel,booking_date,checkin_date,checkout_date
212,  90.98 ,"298,322","9,395",3,Hotel,non-chain,25/8/2016,13/10/2016,16/10/2016
213,  68.68 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,25/8/2016,4/10/2016,7/10/2016
214,  158.71 ,"257,678","9,395",4,Hotel,non-chain,25/8/2016,10/10/2016,12/10/2016
215,  144.04 ,"96,982","9,395",4,Hotel,chain,25/8/2016,21/10/2016,23/10/2016
216,  90.95 ,"298,322","9,395",3,Hotel,non-chain,25/8/2016,22/10/2016,25/10/2016
217,  168.22 ,"148,724","9,395",4,Hotel,chain,25/8/2016,2/10/2016,4/10/2016
218,  123.69 ,"257,678","9,395",4,Hotel,non-chain,25/8/2016,5/10/2016,7/10/2016
219,  121.95 ,"257,678","9,395",4,Hotel,non-chain,25/8/2016,4/10/2016,7/10/2016
220,  88.34 ,"577,502","9,395",3.5,Hotel,non-chain,25/8/2016,20/10/2016,21/10/2016
221,  105.16 ,"21,272","9,395",4,Hotel,non-chain,25/8/2016,1/10/2016,3/10/2016
222,  105.16 ,"21,272","9,395",4,Hotel,non-chain,25/8/2016,1/10/2016,3/10/2016
223,  257.08 ,"510,678","9,395",5,Hotel,non-chain,25/8/2016,6/10/2016,9/10/2016
224,  263.06 ,"180,052","9,395",5,Hotel,chain,25/8/2016,4/10/2016,7/10/2016
225,  50.88 ,"197,996","9,395",3.5,Hotel,non-chain,25/8/2016,6/10/2016,7/10/2016
226,  57.56 ,"924,698","9,395",3,Hotel,non-chain,25/8/2016,16/10/2016,19/10/2016
227,  51.82 ,"1,930,960","9,395",3,Hotel,non-chain,25/8/2016,5/10/2016,7/10/2016
228,  44.16 ,"197,996","9,395",3.5,Hotel,non-chain,25/8/2016,21/10/2016,22/10/2016
229,  46.70 ,"2,325,228","9,395",2,Serviced Apartment,non-chain,25/8/2016,16/10/2016,17/10/2016
230,  46.00 ,"2,325,228","9,395",2,Serviced Apartment,non-chain,25/8/2016,21/10/2016,22/10/2016
231,  100.82 ,"348,814","9,395",3.5,Hotel,non-chain,25/8/2016,11/10/2016,14/10/2016
232,  127.04 ,"824,942","9,395",3.5,Serviced Apartment,non-chain,25/8/2016,14/10/2016,15/10/2016
233,  228.67 ,"96,982","9,395",4,Hotel,chain,25/8/2016,13/10/2016,16/10/2016
234,  132.84 ,"21,272","9,395",4,Hotel,non-chain,25/8/2016,8/10/2016,10/10/2016
235,  52.12 ,"461,084","9,395",3,Hotel,non-chain,25/8/2016,11/10/2016,14/10/2016
236,  165.66 ,"96,982","9,395",4,Hotel,chain,25/8/2016,12/10/2016,15/10/2016
237,  58.63 ,"198,004","9,395",3,Hotel,non-chain,26/8/2016,17/10/2016,20/10/2016
238,  95.44 ,"577,502","9,395",3.5,Hotel,non-chain,26/8/2016,9/10/2016,12/10/2016
239,  144.36 ,"96,982","9,395",4,Hotel,chain,26/8/2016,1/10/2016,4/10/2016
240,  110.33 ,"21,272","9,395",4,Hotel,non-chain,26/8/2016,8/10/2016,10/10/2016
241,  68.82 ,"866,630","9,395",3.5,Serviced Apartment,non-chain,26/8/2016,5/10/2016,6/10/2016
242,  161.68 ,"257,678","9,395",4,Hotel,non-chain,26/8/2016,14/10/2016,16/10/2016
243,  46.12 ,"197,996","9,395",3.5,Hotel,non-chain,26/8/2016,8/10/2016,9/10/2016
244,  60.12 ,"2,314,990","9,395",2.5,Hostel,non-chain,26/8/2016,5/10/2016,8/10/2016
245,  131.40 ,"373,272","9,395",4.5,Hotel,chain,26/8/2016,15/10/2016,18/10/2016
246,  154.54 ,"148,724","9,395",4,Hotel,chain,26/8/2016,2/10/2016,4/10/2016
247,  362.56 ,"2,313,076","9,395",5,Hotel,chain,26/8/2016,16/10/2016,17/10/2016
248,  79.72 ,"297,388","9,395",2.5,Hotel,non-chain,26/8/2016,6/10/2016,9/10/2016
249,  28.06 ,"2,386,814","9,395",2,Hostel,non-chain,26/8/2016,9/10/2016,11/10/2016
250,  66.80 ,"373,588","9,395",3,Hotel,non-chain,26/8/2016,1/10/2016,2/10/2016
251,  95.94 ,"309,680","9,395",3,Hotel,chain,26/8/2016,23/10/2016,25/10/2016
252,  46.10 ,"2,325,228","9,395",2,Serviced Apartment,non-chain,26/8/2016,13/10/2016,15/10/2016
253,  72.98 ,"2,386,814","9,395",2,Hostel,non-chain,26/8/2016,21/10/2016,22/10/2016
254,  46.80 ,"2,325,228","9,395",2,Serviced Apartment,non-chain,26/8/2016,22/10/2016,25/10/2016
255,  146.52 ,"96,982","9,395",4,Hotel,chain,26/8/2016,3/10/2016,5/10/2016
256,  106.25 ,"21,418","9,395",4,Hotel,chain,26/8/2016,23/10/2016,26/10/2016
257,  154.94 ,"1,853,178","9,395",4,Hotel,non-chain,26/8/2016,5/10/2016,6/10/2016
258,  125.00 ,"601,910","9,395",3.5,Hotel,non-chain,27/8/2016,22/10/2016,23/10/2016
259,  55.92 ,"197,996","9,395",3.5,Hotel,non-chain,27/8/2016,1/10/2016,2/10/2016
260,  49.10 ,"197,996","9,395",3.5,Hotel,non-chain,27/8/2016,20/10/2016,21/10/2016
261,  116.30 ,"21,418","9,395",4,Hotel,chain,27/8/2016,6/10/2016,7/10/2016
262,  49.70 ,"197,996","9,395",3.5,Hotel,non-chain,27/8/2016,2/10/2016,3/10/2016
263,  123.38 ,"21,272","9,395",4,Hotel,non-chain,27/8/2016,3/10/2016,4/10/2016
264,  134.54 ,"179,404","9,395",3.5,Hotel,chain,27/8/2016,5/10/2016,6/10/2016
265,  255.20 ,"141,282","9,395",5,Hotel,chain,27/8/2016,8/10/2016,9/10/2016
266,  158.16 ,"21,310","9,395",4,Hotel,chain,27/8/2016,20/10/2016,21/10/2016
267,  69.46 ,"601,910","9,395",3.5,Hotel,non-chain,27/8/2016,2/10/2016,3/10/2016
